TOWN,ALe,Alx,Aus,Bau,Bem,Bra,Clq,Crk,DLk,Dul,EGF,Ely,Fmt,Frb,FFl,GPo,GRp,Hib,Hut,IFl,LCr,Lit,LFl,Luv,Mkt,Mar,Mpl,Mvo,Mrh,Mor,NUl,Nfd,Noy,Owa,Pip,RWg,Rch,StC,SPl,SPt,Skp,Stl,TRF,Vir,Was,Wlm,Wnd,Win,Wrt
AlbertLea,-,-,22,-,-,-,-,-,-,-,-,-,59,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-
Alexandria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-,-,-,55,-,-,-,-,-,-,47,-,-,-,-,-,-,-,68,-,-,-,-,-,-,-,65,-,-,-
Austin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100,-,-,-,-,-,-,-,-,-,-,-,-,34,-,-,41,-,-,-,-,-,-,-,-,-,-,-,-
Baudette,-,-,-,-,101,-,-,-,-,-,-,-,-,-,-,-,131,-,-,70,-,-,-,-,-,-,-,-,-,-,-,-,144,-,-,-,-,-,-,-,-,-,122,-,-,-,-,-,-
Bemidji,-,-,-,-,-,97,-,88,91,-,-,-,-,-,-,-,69,-,-,114,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92,-,-,-,-,-,-
Brainerd,-,-,-,-,-,-,98,-,92,-,-,-,-,-,100,-,83,-,-,-,-,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Cloquet,-,-,-,-,-,-,-,-,-,21,-,-,-,-,-,-,71,71,-,-,-,-,-,-,-,-,136,-,-,-,-,-,-,-,-,-,-,127,133,-,-,139,-,60,-,-,-,-,-
Crookston,-,-,-,-,-,-,-,-,92,-,25,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,68,-,-,-,88,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-
DetroitLakes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,-,-,-,-,-,-,-,-,-,-,-,-,-,44,-,-,-,-,-,-,-,-,-,-,-,-,-,96,-,-,-,-,-,-
Duluth,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,151,83,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,-,-,-,-,-
EastGrandForks,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80,-,-,-,86,-,-,-,-,-,-,-,-,-,50,-,-,-,-,-,-
Ely,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,152,-,-,-,136,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,-,-,-,-
Fairmont,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,-,61
